Text;Size
de;19
la;14
y;10
dato;9
ciencia;6
comer;5
un;4
el;4
en;4
estadístico;3
los;3
que;3
sistema;2
del;2
aprendizaje;2
análisis;2
relacionar;2
estructurar;2
sus;2
se;2
a;2
método;2
diferente;2
o;2
lo;2
extraer;2
son;2
automático;2
formación;2
es;2
campo;2
paradigma;2
parir;2
proceso;2
emplear;1
conocimiento;1
continuación;1
ya;1
computacional;1
campar;1
jim;1
involucrar;1
mejor;1
al;1
modelo;1
cual;1
mucho;1
está;1
concepto;1
minera;1
tecnología;1
fenómeno;1
sea;1
matemático;1
gray;1
informático;1
interdisciplinario;1
científico;1
predictivo;1
pasado;1
e;1
ecuación;1
texto;1
todo;1
debido;1
alguno;1
ganador;1
algoritmo;1
entendimiento;1
con;1
definir;1
analítico;1
unificar;1
efecto;1
comprender;1
teoría;1
cuartar;1
las;1
imaginar;1
diluviar;1
utilizar;1
turing;1
formar;1
real;1
apoyar;1
interpretar;1
este;1
unir;1
empírico;1
cambiar;1
no;1
teórico;1
también;1
evaluación;1
ahora;1
muy;1
analizar;1
basar;1
afirmar;1
investigador;1
dentro;1
resultado;1
técnico;1
impactar;1
nuevo;1
premiar;1
asir;1
