Text;Size
de;19
la;14
y;10
datos;9
ciencia;6
como;5
un;4
el;4
en;4
los;3
que;3
del;2
aprendizaje;2
diferentes;2
análisis;2
sus;2
estadística;2
se;2
campos;2
a;2
métodos;2
o;2
procesos;2
lo;2
son;2
información;2
automático;2
es;2
paradigma;2
estructurados;2
para;2
sistemas;2
conocimiento;1
continuación;1
ya;1
computacional;1
jim;1
imaginó;1
resultados;1
mejor;1
relacionados;1
al;1
muchos;1
técnicas;1
impacto;1
cual;1
está;1
concepto;1
tecnología;1
algoritmos;1
premio;1
informática;1
sea;1
involucra;1
cuarto;1
gray;1
efectos;1
relacionado;1
utilizados;1
interdisciplinario;1
pasado;1
estadísticas;1
e;1
predictiva;1
todo;1
debido;1
ganador;1
entendimiento;1
interpretación;1
con;1
reales;1
extraer;1
contexto;1
analítica;1
unificar;1
fenómenos;1
empleando;1
comprender;1
matemáticas;1
investigadores;1
las;1
minería;1
apoyan;1
formas;1
turing;1
campo;1
este;1
algunos;1
teorías;1
extraídas;1
empírico;1
no;1
científicos;1
teórico;1
diluvio;1
también;1
evaluación;1
cambiando;1
ahora;1
muy;1
analizar;1
define;1
basado;1
ecuaciones;1
afirmó;1
dentro;1
una;1
modelos;1
nuevo;1
así;1
