Text;Size
dato;9
ciencia;6
estadístico;3
sistema;2
extraer;2
aprendizaje;2
automático;2
formación;2
campo;2
paradigma;2
análisis;2
relacionar;2
estructurar;2
proceso;2
método;2
la;2
emplear;1
conocimiento;1
definir;1
continuación;1
computacional;1
campar;1
analítico;1
jim;1
unificar;1
involucrar;1
efecto;1
comprender;1
teoría;1
cuartar;1
imaginar;1
diluviar;1
el;1
utilizar;1
turing;1
en;1
formar;1
real;1
modelo;1
apoyar;1
interpretar;1
empírico;1
concepto;1
minera;1
cambiar;1
tecnología;1
teórico;1
fenómeno;1
también;1
evaluación;1
matemático;1
analizar;1
gray;1
basar;1
informático;1
interdisciplinario;1
científico;1
predictivo;1
investigador;1
resultado;1
técnico;1
ecuación;1
texto;1
impactar;1
premiar;1
ganador;1
algoritmo;1
entendimiento;1
