Text;Size
don;1073
quijote;848
sancho;691
merced;400
caballero;352
cosa;281
mal;253
cura;246
aquella;219
mas;213
dios;201
vida;200
padre;196
mundo;170
puesto;168
amo;162
digo;159
caballeros;155
tierra;150
camila;150
mano;148
casa;148
aun;147
lotario;142
barbero;138
cielo;137
anselmo;137
visto;135
amigo;133
dorotea;131
ojos;128
punto;127
panza;122
rocinante;120
camino;120
hombre;119
fernando;118
razones;117
gusto;114
voluntad;112
quiero;111
venta;111
manos;110
vio;110
libros;110
noche;107
tanta;106
escudero;106
cardenio;104
diciendo;103
grande;102
duda;102
quiso;101
deseo;100
luscinda;99
ventero;98
historia;97
viendo;96
cabeza;95
palabra;93
caballo;92
andante;92
vos;91
dulcinea;90
menester;89
mujer;89
desta;89
suerte;89
nombre;87
iba;86
vino;86
tales;85
andantes;85
gente;84
entender;83
fuerza;81
voz;81
hermosa;81
memoria;81
parecer;81
amor;80
tantas;78
zoraida;78
mesmo;78
doncella;77
causa;77
armas;76
hija;76
rey;76
palabras;75
pie;75
oh;74
triste;74
voces;73
aquello;73
puso;72
daba;71
mala;70
salir;70
delante;70
caso;70
persona;69
muerte;69
rostro;69
castillo;68
hermosura;68
suelo;67
deste;67
mil;67
ventura;67
alma;67
tantos;66
reino;65
pena;64
pies;63
cabo;63
espada;61
pasar;61
dejar;61
brazo;60
fama;60
toboso;60
partes;60
contento;59
muerto;59
mitad;59
cuerpo;58
venir;58
fe;57
juicio;57
hermano;57
entendimiento;56
tomar;56
aventuras;56
libertad;56
cuento;56
aventura;55
volver;54
pecho;54
boca;54
aposento;54
orden;53
carta;53
famoso;52
lengua;52
asno;52
cristianos;52
mesma;52
mozo;52
figura;52
viene;51
vista;50
mancha;50
buscar;50
presto;50
honra;50
ciudad;50
encantado;49
leer;49
hablar;49
querer;49
falta;48
gigante;47
adonde;46
gana;46
hora;46
brazos;46
pienso;46
reina;46
sangre;45
llamaba;45
libro;45
pensaba;45
pudiera;45
cabrero;45
della;45
hombres;44
pensar;44
finalmente;44
renegado;44
agua;44
medio;44
leonela;44
cristiano;44
pensamiento;44
princesa;44
pensamientos;44
desgracia;43
batalla;43
dije;43
fortuna;43
locura;43
culpa;43
comer;43
natural;43
deseos;42
loco;42
madre;42
padres;42
semejantes;42
muestras;42
remedio;41
peligro;41
hijo;41
criado;41
cautivo;41
quisiera;40
debajo;40
puerta;40
entrar;40
obra;40
discurso;40
oidor;40
silencio;40
llegar;40
pobre;40
suele;39
enamorado;39
mercedes;39
luis;39
conmigo;39
dellos;39
cuya;38
dando;38
moros;38
campo;37
suceso;37
agora;37
esperar;37
espacio;37
cuidado;37
principio;36
mar;36
yelmo;36
vieron;36
temor;36
mirar;36
provecho;36
creer;36
enemigo;36
dolor;35
hallado;35
dijese;35
cuantos;35
mira;35
diablo;35
esposa;35
edad;35
andaba;35
marido;35
acabar;34
hallar;34
jumento;34
papel;34
criados;34
valeroso;34
lanza;34
rico;34
dices;34
esposo;34
oro;34
paz;34
pastor;34
alta;34
supo;33
queda;33
lejos;33
pudiese;33
sol;33
guerra;33
fuerte;32
pesadumbre;32
sepa;32
virtud;32
perder;32
acaso;32
pasaba;32
llaman;32
iban;32
diese;32
caer;32
darle;32
barca;31
necesidad;31
bondad;31
fuego;31
amistad;31
santa;31
quedaron;31
maritornes;31
silla;31
clara;31
licenciado;31
haga;31
miedo;30
mujeres;30
esperanza;30
fuere;30
dineros;30
escrito;30
principal;30
paso;30
ventera;30
mirando;30
desdichado;29
priesa;29
veo;29
quieres;29
llevaba;29
deseaba;29
suelen;29
destas;29
amores;29
mayores;29
juro;29
dormir;29
aldea;28
hacienda;28
sucesos;28
valiente;28
disparates;28
destos;28
prometido;28
alcanzar;28
versos;28
toca;28
efeto;28
albarda;28
traje;28
moro;28
favor;28
llegaron;28
amigos;27
lleno;27
viento;27
honestidad;27
labrador;27
andar;27
vuelto;27
venga;27
pedro;27
agravio;27
vestido;27
especialmente;27
cuyo;26
quedar;26
vi;26
diligencia;26
venganza;26
viese;26
libre;26
sabio;26
hijos;26
risa;26
claro;26
dama;26
pastores;26
experiencia;26
ama;26
personas;26
marcela;26
ausencia;26
consejo;25
di;25
barbas;25
basta;25
buscando;25
cabellos;25
muestra;25
contado;25
cargo;25
acuerdo;25
venia;25
servido;25
veras;25
peor;25
gloria;25
conocido;25
darme;25
negocio;25
deja;25
ventana;24
dejando;24
discreta;24
caminos;24
discreto;24
efecto;24
quisiere;24
sucedido;24
real;24
autor;24
sacar;24
pusieron;24
hechos;24
