Text;Size
que;11134
de;9164
y;8690
a;7968
la;5104
en;4053
el;3858
no;3159
se;2655
los;2154
con;2089
n;1985
por;1947
lo;1945
le;1894
su;1863
s;1571
las;1494
mi;1261
me;1184
como;1152
del;1128
si;1113
don;1088
es;1045
ma;996
yo;962
e;945
o;914
un;902
dijo;879
quijote;848
l;843
al;834
sen;831
habi;826
porque;772
tan;763
para;720
sancho;691
an;629
ni;627
sin;626
esta;623
todo;623
una;601
asi;576
bien;551
ser;506
esto;497
ha;492
sus;488
era;486
pues;465
vuestra;459
respondio;455
pero;435
todos;433
ya;422
or;419
cual;401
merced;400
este;394
cuando;387
te;386
ella;385
fue;382
donde;371
as;364
caballero;352
os;343
dos;338
di;329
sino;319
hacer;318
quien;308
muy;300
aquel;297
tu;297
is;287
otra;284
cosa;281
estaba;276
aunque;270
decir;266
alli;266
teni;265
he;258
mal;253
ora;252
otro;250
tanto;248
cura;247
nos;245
luego;232
poco;229
aqui;225
aquella;219
ver;217
mas;213
hasta;212
alguna;210
manera;208
verdad;205
ahora;204
dios;201
les;201
vida;200
buen;199
padre;196
ellos;192
buena;191
son;191
sobre;189
co;187
tengo;185
hay;184
do;183
deci;182
parte;181
ndole;180
cosas;180
dicho;180
lugar;176
uno;176
oi;175
tiempo;171
mis;171
tal;171
dar;170
mundo;170
entre;169
puesto;168
toda;167
todas;166
tiene;166
amo;162
digo;161
menos;161
dio;159
mucho;157
ndose;157
eso;156
fuera;156
han;155
caballeros;155
hecho;154
mejor;153
mo;153
gran;152
tierra;150
camila;150
mano;148
casa;148
aun;147
podi;146
hizo;145
vio;143
lotario;142
sea;141
caballeri;140
algu;140
cuanto;140
puede;139
barbero;138
otras;137
cielo;137
anselmo;137
quie;135
visto;135
antes;134
so;133
amigo;133
dorotea;131
ojos;128
tener;128
saber;127
punto;127
estas;127
tambie;126
haber;124
panza;122
estos;122
sera;122
cua;121
mismo;121
camino;121
otros;120
rocinante;120
despue;120
hombre;119
fernando;118
fin;117
parece;117
razones;117
mucha;116
gusto;116
soy;114
da;113
fuese;112
voluntad;112
quiero;111
venta;111
manos;110
libros;110
nuestro;109
noche;107
muchas;107
tres;107
eran;106
escudero;106
tanta;106
cardenio;104
diciendo;103
cuenta;103
quiso;102
duda;102
grande;102
veces;101
deseo;100
luscinda;99
llego;99
ventero;98
historia;97
veni;97
desde;97
primero;97
vez;96
viendo;96
cabeza;95
palabra;93
caballo;92
andante;92
cada;92
vos;91
dulcinea;90
va;90
menester;89
aquellos;89
mujer;89
desta;89
sido;89
suerte;89
nombre;88
quedo;88
muchos;88
jama;87
adelante;87
iba;86
vino;86
debe;86
entonces;85
modo;85
tales;85
andantes;85
dice;84
gente;84
ti;84
replico;83
entender;83
haci;82
estaban;82
fuerza;81
hermosa;81
parecer;81
pie;81
voz;81
memoria;81
cuales;80
vuestro;80
amor;80
poner;80
i;79
tantas;78
zoraida;78
mesmo;78
tulo;78
ir;77
doncella;77
alguno;77
segu;77
causa;77
trai;77
ocasio;76
rey;76
armas;76
hija;76
dado;76
nada;76
fueron;75
palabras;75
nunca;75
debi;75
oh;74
triste;74
aquello;73
contra;73
pareci;73
voces;73
comenzo;73
dema;73
puso;72
hace;72
razo;71
daba;71
caso;71
mala;70
hubo;70
delante;70
posible;70
salir;70
siempre;69
ninguna;69
persona;69
muerte;69
rostro;69
au;68
castillo;68
hermosura;68
hallo;68
estar;68
cuatro;68
fe;67
has;67
compan;67
mil;67
nadie;67
alma;67
suelo;67
deste;67
mayor;67
ventura;67
ellas;67
ese;66
tantos;66
parecio;66
nuevo;66
nosotros;65
podri;65
algunos;65
dejo;65
reino;65
tienen;64
poder;64
pena;64
casi;64
pies;63
contento;63
pudo;63
cabo;63
tuvo;62
estado;62
junto;62
aquellas;62
pregunto;62
dan;61
ello;61
valor;61
pasar;61
cierto;61
dejar;61
espada;61
quiere;61
hacia;60
algo;60
haya;60
brazo;60
fama;60
toboso;60
unos;60
capi;60
partes;60
habe;59
tus;59
engan;59
muerto;59
simo;59
tomo;59
mitad;59
cuerpo;58
suyo;58
venir;58
ninguno;57
juicio;57
queri;57
hermano;57
intencio;57
aventura;56
volvio;56
ores;56
libertad;56
cuento;56
entendimiento;56
tomar;56
siendo;56
paso;56
dicen;56
aventuras;56
sabi;55
esa;54
volver;54
pecho;54
boca;54
aposento;54
orden;53
nuestra;53
extran;53
carta;53
lengua;52
mira;52
mesma;52
espan;52
mozo;52
figura;52
famoso;52
grimas;52
asno;52
cristianos;52
vi;51
viene;51
bueno;51
sabe;51
llevar;51
apenas;51
r;50
mancha;50
presto;50
honra;50
quiza;50
ciudad;50
vista;50
buscar;50
algunas;50
encantado;49
leer;49
hablar;49
querer;49
podra;49
corazo;49
falta;48
lei;48
solo;48
cano;48
misma;48
nigo;47
libro;47
ndola;47
estando;47
gana;47
gigante;47
dije;46
pienso;46
ste;46
amos;46
adonde;46
hora;46
pueda;46
brazos;46
reina;46
sangre;45
nde;45
pudiera;45
creo;45
ndome;45
della;45
llamaba;45
vie;45
seri;45
dieron;45
pensaba;45
ado;45
cabrero;45
hicieron;44
hombres;44
pensar;44
agua;44
leonela;44
pensamiento;44
princesa;44
cerca;44
pensamientos;44
finalmente;44
renegado;44
medio;44
culpa;44
tras;44
cristiano;44
desgracia;43
buenos;43
acompan;43
comer;43
nuevas;43
estoy;43
batalla;43
fortuna;43
sima;43
locura;43
natural;43
deseos;42
madre;42
hubiera;42
padres;42
man;42
grandes;42
cautivo;42
muestras;42
loco;42
semejantes;42
vuestras;42
remedio;41
hue;41
habiendo;41
silencio;41
peligro;41
hijo;41
criado;41
ahi;41
deja;41
queda;40
entrar;40
discurso;40
pobre;40
quisiera;40
salio;40
debajo;40
puerta;40
obra;40
oidor;40
llegar;40
mercedes;39
conmigo;39
dellos;39
pla;39
tuviese;39
suele;39
enamorado;39
luis;39
primera;39
ana;39
trabajo;39
moros;38
duen;38
tenga;38
hare;38
ansi;38
cuya;38
rico;38
dando;38
vera;37
esperar;37
espacio;37
cuidado;37
hari;37
campo;37
suceso;37
agora;37
llama;37
capita;36
ge;36
entro;36
buenas;36
semos;36
mar;36
yelmo;36
temor;36
hago;36
tenido;36
sepa;36
nuestros;36
unas;36
principio;36
acabo;36
vieron;36
mirar;36
provecho;36
creer;36
sola;36
enemigo;36
cai;36
hallado;35
hubiese;35
habra;35
esposa;35
andaba;35
marido;35
haga;35
sazo;35
dolor;35
dijese;35
cuantos;35
diablo;35
edad;35
ningu;35
hazan;35
baci;34
lleva;34
acabar;34
hallar;34
jumento;34
papel;34
criados;34
hacen;34
pasado;34
lanza;34
esposo;34
oro;34
paz;34
estuvo;34
alta;34
sta;34
valeroso;34
dices;34
pastor;34
puedo;34
fuesen;33
supo;33
nimo;33
pudiese;33
pan;33
conto;33
sol;33
guerra;33
aque;33
condicio;33
amadi;33
lejos;33
montan;33
dicie;33
juro;33
u;32
fuerte;32
suya;32
pesadumbre;32
perder;32
pasaba;32
sucedio;32
llaman;32
iban;32
sean;32
verdadera;32
virtud;32
acaso;32
diese;32
caer;32
darle;32
bondad;31
fuego;31
amistad;31
maritornes;31
clara;31
imaginacio;31
barca;31
necesidad;31
santa;31
quedaron;31
silla;31
licenciado;31
nero;30
llevo;30
lado;30
ronse;30
esperanza;30
fuere;30
escrito;30
oyo;30
ventera;30
pen;30
alla;30
miedo;30
mujeres;30
seis;30
dineros;30
principal;30
pedi;30
mirando;30
desdichado;29
lleno;29
poca;29
mayores;29
bamos;29
priesa;29
mando;29
veo;29
quieres;29
llevaba;29
deseaba;29
suelen;29
torno;29
destas;29
toca;29
amores;29
traje;29
dormir;29
ama;29
respondi;29
aldea;28
fa;28
hoy;28
tienes;28
valiente;28
disparates;28
prosiguio;28
efeto;28
quito;28
moro;28
favor;28
resolucio;28
haciendo;28
hacienda;28
vei;28
vosotros;28
sucesos;28
grandi;28
griso;28
destos;28
prometido;28
alcanzar;28
versos;28
pequen;28
venga;28
albarda;28
llegaron;28
stomo;28
rogo;28
rmino;27
honestidad;27
ramos;27
pedro;27
agravio;27
vestido;27
pun;27
pueden;27
querri;27
especialmente;27
halle;27
amigos;27
viento;27
labrador;27
andar;27
vuelto;27
diga;26
dire;26
quedar;26
diligencia;26
dentro;26
fueran;26
viese;26
libre;26
sabio;26
claro;26
experiencia;26
personas;26
vizcai;26
hara;26
cuyo;26
vea;26
nueva;26
venganza;26
sito;26
cargo;26
hijos;26
risa;26
dama;26
pastores;26
discrecio;26
sois;26
deje;26
marcela;26
ausencia;26
todavi;25
consejo;25
conoci;25
barbas;25
contado;25
eres;25
acuerdo;25
servido;25
conocido;25
negocio;25
saco;25
propo;25
basta;25
buscando;25
cabellos;25
muestra;25
venia;25
enojo;25
veras;25
peor;25
trae;25
gloria;25
trata;25
consigo;25
aca;25
darme;25
ventana;24
discreta;24
base;24
discreto;24
ba;24
llega;24
efecto;24
jardi;24
ronle;24
hemos;24
encima;24
sacar;24
quita;24
pusieron;24
mentira;24
pueblo;24
puedes;24
llamar;24
ales;24
armado;24
dejaba;24
moza;24
dejando;24
caminos;24
quisiere;24
tica;24
sucedido;24
nuestras;24
primer;24
real;24
autor;24
conocer;24
hechos;24
burla;24
obras;24
paciencia;24
venido;24
cama;24
ban;24
decirle;24
verse;24
ensen;23
ar;23
duque;23
quitar;23
falto;23
doce;23
letras;23
cuadrilleros;23
oras;23
grado;23
noticia;23
dejado;23
llamado;23
sobresalto;23
presencia;23
llegando;23
sosiego;23
hice;23
oyendo;23
seguir;23
busca;23
hiciese;23
hecha;23
sped;23
presteza;23
can;23
guarda;22
doy;22
tiempos;22
levanto;22
mu;22
verdaderamente;22
deben;22
industria;22
poni;22
espaldas;22
jaula;22
ejercicio;22
luz;22
sabes;22
justo;22
donaire;22
parecie;22
blanco;22
crei;22
alto;22
horas;22
vivo;22
dejase;22
villano;22
ante;22
corte;22
rboles;22
van;22
vestidos;22
emperador;22
mula;22
doncellas;22
pedazos;22
sierra;22
hidalgo;22
soldado;22
quiera;22
abajo;22
media;22
forzoso;22
acudio;22
irse;22
quedara;22
licencia;22
quedaba;22
pidio;21
cre;21
conozco;21
quisieres;21
li;21
pu;21
ve;21
segundo;21
determinacio;21
lera;21
nsula;21
mejores;21
cierta;21
mire;21
nin;21
cualquiera;21
asimismo;21
cortesi;21
corral;21
desengan;21
hallaron;21
andado;21
responder;21
entrambos;21
facilidad;21
ruido;21
verdadero;21
gracias;21
conocio;21
pago;21
servir;21
echo;21
fuerzas;21
dare;21
mostraba;21
obligado;21
locuras;21
pide;20
papeles;20
calidad;20
coche;20
entiendo;20
letra;20
pasos;20
parar;20
entendio;20
cruel;20
celada;20
pro;20
instante;20
pocos;20
malos;20
mora;20
ganado;20
alzo;20
sali;20
hambre;20
oficio;20
podre;20
voy;20
barba;20
quisiese;20
hermandad;20
gaula;20
opinio;20
acaba;20
dientes;20
ticas;20
oyeron;20
vuelta;20
damas;20
querido;20
hiciera;20
juan;20
soli;20
llegue;20
llegado;20
dinero;20
palos;19
ero;19
juntos;19
muchacho;19
sa;19
esperando;19
creyendo;19
viaje;19
quede;19
grandeza;19
adas;19
viniese;19
contrario;19
arremetio;19
justicia;19
lanzo;19
ayuda;19
pude;19
desventura;19
conde;19
par;19
tuviera;19
llevan;19
anda;19
llorar;19
uso;19
veinte;19
galeotes;19
llevado;19
escuderos;19
empresa;19
respuesta;19
merece;19
ofreci;19
pagar;19
tome;19
perdo;19
carne;19
determino;19
infanta;19
sobrina;19
acudir;19
cristiana;19
diera;19
guardar;18
tuve;18
aparte;18
golpe;18
hallaba;18
cuerno;18
alforjas;18
fui;18
suyas;18
pone;18
contar;18
ndolos;18
acabado;18
lla;18
habie;18
esas;18
escribir;18
imagino;18
presente;18
correr;18
comu;18
pasaron;18
cuentan;18
seria;18
adarga;18
duro;18
vive;18
subir;18
subio;18
fecho;18
halla;18
verdaderas;18
hacerse;18
mesmos;18
pendencia;18
molido;18
reve;18
promesas;18
descubierto;18
vienen;18
pasa;18
leandra;18
movido;18
volvi;18
toma;18
iglesia;18
arriero;18
secreto;18
cualquier;18
artificio;18
pregunta;18
vuestros;18
leguas;17
escuchando;17
tuvieron;17
andaban;17
enemigos;17
ay;17
ca;17
dira;17
semejante;17
golpes;17
ingenio;17
llevaban;17
ndoles;17
vaya;17
gigantes;17
leyes;17
rucio;17
solas;17
esperanzas;17
jaez;17
confuso;17
lsamo;17
salido;17
pedir;17
cabreros;17
vimos;17
siquiera;17
mambrino;17
traidor;17
historias;17
linaje;17
caminar;17
nuevos;17
quieren;17
arte;17
mulas;17
desgracias;17
echar;17
sepultura;17
puerto;17
mandado;17
gine;17
usar;17
andre;17
carro;17
puesta;17
dara;17
turcos;17
ada;17
asimesmo;17
ase;17
simple;17
costumbre;16
baja;16
estuviese;16
diez;16
hi;16
dito;16
pe;16
ladro;16
entendi;16
femando;16
debio;16
admirado;16
ido;16
partida;16
respeto;16
gentil;16
conciencia;16
honrada;16
rescate;16
siglos;16
ndonos;16
sabia;16
conveni;16
celos;16
veas;16
imposible;16
bajel;16
trabajos;16
ricos;16
reyes;16
valientes;16
naturaleza;16
admiracio;16
dejara;16
soneto;16
belleza;16
ambrosio;16
servicio;16
puestos;16
pasamonte;16
lecho;16
escudos;16
desto;16
marie;16
penso;16
jole;16
solamente;16
soldados;16
haberle;16
satisfecho;16
micomicona;16
segura;16
suspiros;16
rica;16
intento;16
echa;16
pesar;16
comenzaron;16
dicha;16
dari;16
decirse;16
sentido;16
momento;16
pregunte;16
llamo;16
cautivos;16
d;15
fermosa;15
comenzado;15
galeras;15
cadena;15
stas;15
cueros;15
hallara;15
gracia;15
tomado;15
acometer;15
nima;15
pares;15
cuello;15
quise;15
aviso;15
solos;15
eros;15
desventuras;15
bito;15
preguntar;15
abrio;15
pastora;15
hablando;15
salida;15
aire;15
profesio;15
entran;15
perdido;15
novela;15
confusio;15
serlo;15
yerme;15
castellano;15
mover;15
cumplir;15
ofrecimientos;15
pocas;15
san;15
vivi;15
ligereza;15
pecado;15
bastante;15
poeta;15
manda;15
ofrecio;15
espero;15
rodillas;15
argel;15
salvo;15
penitencia;15
nacido;15
alegre;15
arriba;15
quitado;15
comodidad;15
extremo;15
tendido;15
pare;15
seguro;15
stima;15
talle;15
reinos;15
estilo;15
daga;15
batallas;15
cuadrillero;15
mirad;15
llegaba;15
ponerse;15
verle;15
honesta;14
contenta;14
estudiante;14
temeroso;14
eje;14
ah;14
sujeto;14
menor;14
marque;14
enza;14
herida;14
milagro;14
gentes;14
viejo;14
lela;14
leo;14
tampoco;14
honrado;14
importancia;14
yerbas;14
sabre;14
miro;14
punta;14
conocimiento;14
pasada;14
menesterosos;14
esperaba;14
tomando;14
pusiese;14
talante;14
rei;14
altas;14
caballos;14
treinta;14
largo;14
malas;14
furia;14
sombra;14
riendas;14
imaginar;14
aliento;14
mozos;14
necedades;14
bueyes;14
game;14
brevedad;14
rato;14
defensa;14
olvido;14
voto;14
verdades;14
lugares;14
famosos;14
matar;14
haberse;14
ponie;14
acerto;14
acerca;14
sufrir;14
juntamente;14
recato;14
perjuicio;14
faltaba;14
pasaban;14
general;14
dejaron;14
impertinente;14
ocho;14
creyo;14
ala;14
ame;14
dulce;14
pasados;14
digno;14
ponerme;14
necesario;14
sintio;14
cil;13
roto;13
tuyo;13
pendencias;13
das;13
bajo;13
temerosa;13
estuviera;13
pieza;13
sitio;13
fri;13
hermanos;13
quedan;13
ru;13
ejemplo;13
debes;13
vamos;13
haz;13
mandamiento;13
valle;13
ira;13
peligros;13
pensativo;13
adio;13
atado;13
legi;13
alabanzas;13
apriesa;13
espi;13
descuido;13
ndo;13
trance;13
volverse;13
parecido;13
determinado;13
suceder;13
mostro;13
ndolo;13
supiese;13
tratar;13
perlas;13
sevilla;13
cantidad;13
tendri;13
ntas;13
casado;13
altos;13
podido;13
hacerme;13
pudieron;13
volviese;13
ferido;13
costa;13
tenemos;13
firme;13
calle;13
despecho;13
encantamento;13
prometio;13
remo;13
repu;13
detra;13
cabras;13
ponga;13
paci;13
paga;13
soledad;13
recibio;13
vendra;13
valenti;13
desenvoltura;13
prisio;13
trato;13
encantador;13
aguas;13
vecino;13
escudo;13
venida;13
quedado;13
cayo;13
cinco;13
pido;12
durmiendo;12
desdichada;12
remos;12
suplico;12
mago;12
stos;12
acertado;12
ceme;12
curiosidad;12
presentes;12
dime;12
llena;12
nu;12
espanto;12
mesa;12
mero;12
fermosura;12
negar;12
testigo;12
encina;12
reposo;12
quere;12
agravios;12
continente;12
agradecio;12
derecho;12
quite;12
particular;12
senti;12
perdio;12
esos;12
habre;12
francia;12
arrojo;12
ruego;12
vela;12
puse;12
discretos;12
parecen;12
entrambas;12
fortaleza;12
atencio;12
prueba;12
puertas;12
primeros;12
breves;12
consuelo;12
ansimesmo;12
males;12
ltimo;12
yerba;12
estamos;12
faltar;12
suspiro;12
reales;12
sospecha;12
tendra;12
ausente;12
pecador;12
corri;12
comedias;12
arzobispo;12
rigor;12
entrado;12
ves;12
suspenso;12
sentimiento;12
salud;12
goleta;12
bellaco;12
asie;12
nombres;12
ingrata;12
invencio;12
vivir;12
hilo;12
adema;12
legua;12
atento;12
mereci;12
piedras;12
terrible;12
entera;12
estima;12
agradable;12
probar;12
pensado;12
hechas;12
casas;12
ejecucio;12
verde;12
mentiras;12
importa;12
encantados;12
conforme;12
infierno;12
ara;12
valerosos;12
ponerle;12
servicios;12
comedia;12
casarse;12
verla;12
roci;12
golo;11
joyas;11
iguales;11
coces;11
suen;11
conteni;11
saliese;11
segui;11
sabido;11
mirado;11
monesterio;11
rminos;11
fuente;11
segunda;11
diversas;11
hallazgo;11
entraron;11
acomodo;11
constantinopla;11
serviros;11
falte;11
cuyas;11
vale;11
piedra;11
desden;11
respondiese;11
arroyo;11
meses;11
ley;11
vivaldo;11
vasallos;11
mun;11
blica;11
ignorante;11
envidia;11
cabra;11
camaradas;11
llevando;11
confirmo;11
enamorados;11
vere;11
somos;11
ori;11
seguridad;11
teniendo;11
mosle;11
pri;11
desnudo;11
qeu;11
paredes;11
salieron;11
morir;11
bosque;11
procura;11
compasio;11
fatiga;11
piensa;11
sierras;11
pagado;11
larga;11
dejare;11
dijeron;11
tendre;11
sale;11
sala;11
mancebo;11
manta;11
espejo;11
gozar;11
trecho;11
daban;11
sentidos;11
puestas;11
pierres;11
favorecer;11
sele;11
levantar;11
entretener;11
asio;11
desdichas;11
poetas;11
fantasmas;11
liberalidad;11
muerta;11
penas;11
sico;11
breve;11
parecerle;11
deshonra;11
joya;11
place;11
mostrar;11
persuadir;11
aguardar;11
posesio;11
redonda;11
humor;11
casos;11
murio;11
dalle;11
felici;11
tarde;11
acordo;11
mientras;11
simos;11
labradora;11
alcanza;11
alcanzo;11
sacado;11
ale;11
ato;11
maleta;11
cara;11
limpio;11
prudencia;11
camisa;11
humana;11
humano;11
echado;11
estruendo;11
hierro;11
ventaja;10
alzando;10
ovejas;10
desear;10
den;10
cuesta;10
prudente;10
hombros;10
spero;10
rolda;10
valer;10
trigo;10
improviso;10
levanta;10
instrumento;10
hermoso;10
ez;10
diri;10
oreja;10
bella;10
curioso;10
imaginaba;10
lago;10
gui;10
mirase;10
cobrar;10
cien;10
inu;10
quejas;10
noches;10
recibi;10
saldra;10
tocaba;10
juramento;10
hablaba;10
desperto;10
leal;10
caminantes;10
leyendo;10
desmayada;10
lienzo;10
hable;10
jurar;10
mes;10
volvie;10
nicola;10
principales;10
monos;10
yendo;10
decidme;10
volviendo;10
dellas;10
propuso;10
descubrio;10
claras;10
levantado;10
hallarse;10
discretas;10
cautiva;10
proseguir;10
temer;10
burlas;10
blanca;10
nsulas;10
atrevimiento;10
poniendo;10
supiera;10
imagen;10
cruz;10
paraba;10
habido;10
sto;10
sano;10
rselo;10
rsela;10
quienquiera;10
romance;10
famosa;10
campos;10
buscarle;10
desdenes;10
muelas;10
verdaderos;10
entrada;10
prometi;10
prometo;10
llevase;10
abrazo;10
quieras;10
gala;10
testigos;10
seco;10
spedes;10
sere;10
alegri;10
desesperado;10
agujero;10
pelea;10
maravilla;10
corona;10
riquezas;10
harto;10
piernas;10
luna;10
canta;10
prometida;10
beber;10
redes;10
mandaba;10
escritos;10
naturales;10
condado;10
vendri;10
ordinario;10
ayer;10
consintio;10
vuelve;10
viesen;10
ancas;10
rodela;10
consejos;10
vengo;10
desmayo;10
faltado;10
vergu;10
mostrarse;10
diablos;10
diego;10
costillas;10
comisario;10
diere;10
accidente;10
mostrado;10
responde;10
perdicio;10
quedase;10
digna;10
debo;10
rogar;10
enemiga;10
miserable;10
desa;10
dese;10
guardas;9
honesto;9
laberinto;9
cerrado;9
aparto;9
aparta;9
darte;9
bala;9
prosigue;9
turco;9
premio;9
rabia;9
lleve;9
huir;9
hombro;9
frailes;9
discursos;9
bachiller;9
quisieron;9
entra;9
noble;9
dignas;9
escondido;9
ri;9
ta;9
levantarse;9
amiga;9
bienes;9
alabanza;9
solicitud;9
lame;9
arrieros;9
sentado;9
encubrir;9
crueldad;9
recebir;9
aventurero;9
razonable;9
acabada;9
falso;9
disculpa;9
vano;9
tocar;9
riqueza;9
hablado;9
micomico;9
queso;9
pardo;9
cobarde;9
gobernador;9
andaluci;9
estimar;9
hacie;9
almas;9
derecha;9
vulgo;9
leyo;9
sospechas;9
zolo;9
bigo;9
