Text;Size
t;592
i;348
r;327
n;257
s;238
l;203
p;184
c;129
d;121
h;90
g;82
f;81
u;81
tika;80
m;77
x;55
k;42
document;33
v;32
new;30
podem;30
https;29
ejempl;27
apach;26
text;23
ficher;23
b;18
ta;18
metadat;18
j;16
pdf;16
rg;16
parser;15
jar;15
metad;14
system;14
or;14
form;13
extraer;12
format;12
app;11
utilizar;11
xml;10
conten;10
and;10
name;10
contenid;10
si;9
distint;9
informacion;9
z;8
encontrar;8
pued;8
podrem;8
og;8
java;8
org;8
outpu;8
salid;8
mime;7
w;7
url;7
aplicacion;7
tipo;7
practic;6
mism;6
permit;6
id;6
gui;6
etc;6
clas;6
entregar;6
xhtml;6
así;6
log;6
web;6
ugr;5
sistem;5
ch;5
thand;5
imag;5
tip;5
digital;5
siguient;5
grafic;5
mas;5
descargar;5
cada;5
use;5
entrad;5
on;5
utilizand;5
lenguaj;5
metod;5
bodyconten;5
realizar;5
program;5
caso;5
frecuenci;5
simpl;5
html;5
sax;5
complet;4
version;4
http;4
partir;4
herramient;4
tml;4
in;4
termin;4
depar;4
hacer;4
tare;4
exampl;4
ln;4
main;4
uso;4
enlaz;4
met;4
pdfparser;4
automatic;4
amen;4
analisis;4
pagin;4
th;4
to;4
incluir;4
considerar;4
libr;4
tamañ;4
type;4
especific;4
contenthandler;4
dat;4
tada;4
proporcion;4
ver;4
codificacion;4
computacion;4
you;3
chxml;3
by;3
eje;3
vist;3
cp;3
textual;3
iso;3
rep;3
encoding;3
parsed;3
ejecutar;3
deteccion;3
length;3
idiom;3
ioma;3
orden;3
interfaz;3
querem;3
fech;3
escrit;3
stream;3
palabr;3
constant;3
ly;3
mode;3
www;3
men;3
control;3
application;3
px;3
confluenc;3
estructur;3
nivel;3
granad;3
asf;3
objetiv;3
cómo;3
tohtmlhandler;3
generic;3
trav;3
proces;3
bien;3
imagen;3
trunk;3
permitiend;3
display;3
tohtmlcontenthandler;3
utilizad;3
pars;3
trabajand;2
formatead;2
encuentr;2
pág;2
xmp;2
ten;2
parametr;2
mayor;2
asignatur;2
metadatanam;2
frank;2
primer;2
ello;2
anterior;2
sólo;2
conjunt;2
ser;2
identificacion;2
toxmlcontenthandler;2
detectar;2
figur;2
component;2
franz;2
nube;2
da;2
represent;2
correct;2
reader;2
apar;2
rgumen;2
pas;2
debe;2
ex;2
pueden;2
mediant;2
sencill;2
desarroll;2
for;2
conteng;2
ge;2
mayori;2
grup;2
obteniend;2
directori;2
apartad;2
context;2
action;2
nam;2
creat;2
verem;2
codig;2
hora;2
dos;2
tlanguag;2
entreg;2
extraccion;2
zipf;2
mund;2
body;2
