Text;Size
seguridad;11
dat;11
bancari;10
ataqu;10
entidad;9
informacion;8
fraud;7
primer;6
ser;6
granad;6
si;6
caso;6
usuari;6
nacional;6
guardi;5
medi;5
contraseñ;5
financier;5
civil;5
digital;5
servici;5
acces;5
ideal;5
banc;5
cualquier;5
así;5
tarjet;5
operacion;4
denunciar;4
sistem;4
adem;4
expert;4
identidad;4
hacer;4
uso;4
medid;4
clav;4
cuent;4
ciberdelincuent;4
sector;4
pago;4
posibl;4
phishing;4
segun;4
autenticacion;4
contenid;4
principal;4
ultim;3
polici;3
empres;3
incib;3
informatic;3
pued;3
electronic;3
riesg;3
fraudulent;3
maner;3
año;3
diari;3
antivirus;3
suelen;3
dobl;3
ciberfraud;3
objetiv;3
func;3
tecnic;3
tener;3
sociedad;3
contactar;3
diner;3
web;3
consumidor;3
robo;3
corre;3
cambiar;3
cas;3
disposicion;3
ciberseguridad;2
mayor;2
averiguar;2
paso;2
economi;2
vocent;2
juzgad;2
cf;2
detectar;2
españ;2
existen;2
nuev;2
pag;2
contact;2
legal;2
daswani;2
tecnologi;2
corporacion;2
pas;2
debe;2
confidencial;2
prueb;2
deport;2
estil;2
form;2
grup;2
mejor;2
credencial;2
hora;2
dos;2
mund;2
recomiendan;2
objet;2
comunicacion;2
total;2
victim;2
suplantacion;2
cultur;2
finanz;2
estimacion;2
seguir;2
ley;2
expres;2
desarrollad;2
email;2
mecanism;2
comun;2
precaucion;2
sufrir;2
aplicacion;2
denunci;2
compartir;2
facilitad;2
sofisticad;2
factor;2
país;2
incluyend;2
puest;2
trav;2
trat;2
gent;2
politic;2
reproduccion;2
plan;2
tecnologic;2
segur;2
semestr;2
andaluci;2
bizum;2
utilizad;2
producen;2
direccion;2
particular;2
aument;2
general;2
aunqu;2
apunt;2
consultar;2
ciberataqu;2
prudenci;1
intervenid;1
fin;1
vía;1
dispositiv;1
suplantar;1
pretend;1
toda;1
comercial;1
dañ;1
recibir;1
asegurar;1
tem;1
protegid;1
autorizacion;1
despu;1
consultor;1
verificar;1
personal;1
estafad;1
avis;1
manteniend;1
destinad;1
foli;1
situacion;1
traslad;1
much;1
agujer;1
investigacion;1
informativ;1
acceder;1
ello;1
exponencial;1
dejar;1
virus;1
anterior;1
registral;1
disparad;1
hoy;1
guapabox;1
movimient;1
modificar;1
usarl;1
oficial;1
suplantand;1
integrad;1
vist;1
c;1
paut;1
union;1
sospech;1
intrusion;1
u;1
registrad;1
juni;1
capturar;1
igual;1
mandan;1
diseñad;1
cancelar;1
repeler;1
somet;1
resumen;1
gast;1
introducid;1
tip;1
smishing;1
debo;1
llamad;1
consej;1
reduc;1
verificacion;1
sentid;1
llamar;1
secuestren;1
mediant;1
procedimient;1
activ;1
mujerhoy;1
interanual;1
sencill;1
experimentand;1
content;1
ransomwar;1
deteccion;1
client;1
mercantil;1
funcasqu;1
redaccion;1
oferplan;1
voz;1
abcdesevill;1
duplicar;1
ambit;1
ayud;1
grand;1
indirectament;1
infectad;1
tlf;1
numer;1
millon;1
saber;1
mult;1
movil;1
castill;1
recomendabl;1
normativ;1
malwar;1
portal;1
contencion;1
encargad;1
pequeñ;1
ir;1
oficin;1
orientad;1
codig;1
pertinent;1
bloquear;1
unic;1
tod;1
revist;1
institut;1
supuest;1
oportun;1
dificil;1
escrit;1
sms;1
siguient;1
ciudadan;1
modificand;1
extremen;1
tomo;1
siguiend;1
unidad;1
descargad;1
huelv;1
detener;1
hacker;1
plataform;1
expuest;1
octubr;1
sensibl;1
sospechos;1
transferenci;1
anular;1
usa;1
emple;1
mensaj;1
cos;1
est;1
vías;1
prohibid;1
etc;1
delant;1
recopilar;1
credit;1
oblig;1
infraestructur;1
enlaz;1
manifiest;1
real;1
relevant;1
proteger;1
derech;1
reservad;1
inscripcion;1
funcionamient;1
cortafueg;1
ampliad;1
protegers;1
eur;1
evitar;1
montañ;1
desactivar;1
aplicand;1
minimiz;1
calcul;1
adaptacion;1
debem;1
