Text;Size
don;1074
si;992
dijo;878
quijot;848
tan;761
sanch;691
bien;560
buen;520
caballer;507
ser;506
pues;465
aquell;443
merced;439
hacer;319
sino;318
dos;302
mal;299
aquel;297
algun;288
cosa;281
decir;275
aunqu;270
tal;256
tant;250
part;247
cura;246
pued;246
ver;244
padr;238
quier;233
lueg;232
dest;229
much;223
verdad;219
maner;213
hech;213
mas;213
puest;212
dios;205
ahor;204
vida;200
dich;199
vez;197
vist;196
tiemp;193
lugar;190
libr;190
cuant;189
mism;183
hombr;182
cos;180
primer;178
andant;177
mejor;174
cuent;171
mund;171
dar;170
amig;170
palabr;168
toda;167
tod;166
amo;162
men;161
digo;159
nuev;157
gran;155
voz;154
tierr;154
mesm;151
dese;151
camil;150
punt;149
mano;148
camin;148
casa;148
aun;147
muert;147
hizo;145
grand;144
ciel;143
lotari;142
barber;139
anselm;137
dio;133
ningun;133
dorote;131
rein;129
ojos;128
venter;128
tener;128
saber;127
escuder;125
gust;125
haber;124
panz;122
rocinant;120
fin;119
mujer;119
fernand;118
voluntad;118
vent;118
razon;117
quis;117
noch;117
parec;116
cristian;115
histori;114
aventur;112
vio;110
man;110
suel;109
amor;109
tres;107
braz;106
caball;106
hermos;104
cardeni;104
diciend;103
dell;103
fuerz;102
duda;102
nombr;101
doncell;99
luscind;99
gent;98
cabez;97
viend;96
mayor;96
person;95
ciert;94
rey;92
vos;91
cada;91
suert;90
menester;90
dulcine;90
adelant;88
junt;88
pensamient;88
memori;87
criad;87
iba;86
vino;86
entonz;85
quisier;85
dice;84
content;84
entender;84
caus;84
parecer;83
debe;82
verdader;81
famos;81
poner;81
modo;81
castill;80
cual;80
trist;80
zoraid;78
herman;77
rostr;77
hija;76
dado;76
arm;76
nunc;75
pie;75
pastor;75
oh;74
falt;74
muestr;74
va;73
medi;73
pasar;73
puert;72
puso;72
espos;72
piens;71
ir;71
hermosur;71
daba;71
dejar;71
delant;70
mala;70
salir;70
posibl;70
clar;70
discret;70
caso;70
hace;70
siempr;69
cuatr;68
mil;68
espad;68
ventur;67
encantad;67
cautiv;67
nadi;67
alma;67
sol;67
pasad;66
suces;65
poder;64
locur;64
enemig;64
gigant;64
pena;64
casi;64
pies;63
pudo;63
cabo;63
valor;62
cabrer;62
tobos;62
pech;62
tomar;61
cuerp;61
ello;61
qued;61
orden;60
desgraci;60
fama;60
mitad;60
cart;60
lengu;60
haci;60
vers;59
venir;59
semejant;59
juici;58
entendimient;58
batall;58
pudier;57
fe;57
enamorad;57
libertad;57
trabaj;57
llevar;56
haciend;56
dicen;56
volver;55
aposent;55
vestid;55
ciudad;55
escrit;54
papel;54
figur;54
