Text;Size
que;10335
de;8984
y;8324
la;4993
a;4765
en;3956
el;3793
no;2859
se;2380
los;2135
con;2046
por;1900
su;1857
le;1799
lo;1795
las;1484
me;1153
como;1137
del;1117
don;1056
es;961
si;932
un;893
mi;856
yo;841
al;801
tan;752
porque;719
para;698
sin;618
ni;612
una;595
todo;532
o;512
sus;486
bien;470
ser;466
ha;459
era;452
vuestra;446
ya;388
todos;379
pero;374
donde;364
cuando;358
dijo;357
fue;348
este;344
te;339
cual;328
esto;321
sino;313
sancho;307
quijote;306
quien;305
esta;304
muy;298
aquel;293
merced;287
dos;283
ella;282
pues;282
hacer;278
aunque;267
otra;262
he;245
cosa;243
nos;241
caballero;227
mal;227
estaba;226
os;222
tanto;219
aquella;212
hasta;210
decir;208
ver;199
buen;199
otro;197
mas;194
sobre;188
les;188
poco;186
hay;177
luego;177
buena;175
mis;169
son;169
ahora;167
dar;164
toda;161
entre;159
tengo;154
uno;153
han;153
tu;152
gran;151
todas;151
puesto;151
alguna;148
cosas;147
mejor;146
ellos;146
aun;143
mucho;142
tal;140
fuera;138
lugar;138
tiempo;137
cuanto;137
dios;136
tiene;134
puede;131
padre;130
otras;129
caballeros;126
parte;126
verdad;124
manera;122
tener;122
dio;121
hizo;121
haber;121
cura;120
estas;119
antes;119
estos;115
mucha;115
hecho;105
otros;104
saber;104
parece;101
vio;101
sea;101
nuestro;100
tanta;99
tres;99
muchas;98
quiero;98
mismo;98
hombre;97
ojos;97
visto;96
menos;96
eran;95
mano;93
vida;92
grande;91
amo;91
soy;91
desde;90
punto;89
aquellos;89
cada;89
cuenta;88
sido;87
quiso;87
casa;87
iba;86
desta;85
fuese;84
lotario;83
viendo;82
camila;82
camino;82
muchos;81
cielo;81
razones;81
digo;80
poner;80
vez;79
tierra;78
eso;77
libros;77
veces;77
amigo;76
primero;76
entender;74
anselmo;74
vuestro;74
contra;72
fin;71
tantas;71
tales;71
vino;71
debe;71
fueron;70
hubo;70
gente;70
va;70
ir;69
deseo;69
gusto;69
puso;69
aquello;68
menester;67
estar;67
nombre;67
mujer;67
deste;67
mundo;67
duda;67
mesmo;66
dicho;66
nunca;66
entonces;65
hermosa;65
salir;65
causa;65
modo;65
cuales;64
has;64
fernando;64
siempre;63
manos;63
noche;63
ninguna;63
mil;63
algunos;63
casi;63
vos;62
triste;62
venta;62
cuatro;62
voz;61
ese;61
voluntad;61
aquellas;61
dejar;61
amor;61
tuvo;60
fuerza;60
memoria;60
unos;60
daba;60
tus;59
tienen;59
rey;59
suerte;59
poder;58
tantos;58
cabo;58
mala;57
dado;57
haya;56
junto;56
pasar;56
hace;56
estaban;55
tomar;55
palabras;55
diciendo;55
mayor;55
cabeza;55
nosotros;55
algo;55
voces;54
barbero;54
panza;53
valor;53
historia;53
hija;53
quiere;53
mitad;53
dorotea;52
nuevo;52
hacia;52
venir;52
cardenio;52
caso;52
orden;51
siendo;51
parecer;51
andante;51
posible;50
esa;50
adelante;50
escudero;50
dice;49
nuestra;49
volver;49
pudo;49
mesma;49
famoso;48
persona;48
algunas;48
andantes;48
llevar;47
palabra;47
doncella;47
pies;46
e;46
apenas;46
caballo;46
querer;46
fe;45
buscar;45
dulcinea;44
adonde;44
ninguno;44
delante;44
hermosura;44
pie;44
misma;44
